Symptom,Variation,Patient Description
sleepwalking,2,"“It’s… strange. I don’t know how to explain it, really. There have been a couple of nights recently where I’ve woken up in rooms I don’t remember going into. Like, the kitchen, or the living room. I’m always completely disoriented, and there’s no sign of forced entry, nothing. It's terrifying, honestly. I just… find myself somewhere else.”"
sleepwalking,3,"“It’s really strange, Doctor. There have been a few nights recently where I’ve woken up and found myself just… gone. Like I’ve left the house. I don’t remember a thing, not even getting out of bed. My husband found me in the garden, watering the plants, completely disoriented. It’s terrifying, and I just feel so vulnerable.”"
sleepwalking,4,"“It’s really strange, Doctor. I don’t know how to explain it, but sometimes when I’m asleep, I’ll just…go. I’ve woken up the morning after finding myself in completely unfamiliar places in the house. Like, I’ll be in the kitchen making tea, or outside in the garden. It’s always dark, and I have absolutely no memory of doing it. It’s terrifying, honestly.”"
skin oiliness,1,"“It’s just… my face feels so greasy all the time. Like, constantly. Even after I wash it, it’s still just… slick.”"
skin oiliness,2,"“It’s just… my face feels so greasy all the time. Like, even after washing it, it’s just perpetually shiny. It’s really starting to bother me, especially in this humidity.”"
skin oiliness,3,"“It’s just… my face feels so greasy all the time, you know? Like, even after I wash it, it’s just…shiny. And sometimes I get these little bumps, especially around my nose.”"
skin oiliness,4,"“It’s just… my face feels so persistently shiny, you know? Like, even after washing it, it’s just…slick. And it gets worse throughout the day, especially if I’m outside.”"
sneezing,1,"“It’s just… it’s been happening a lot lately, especially in the mornings. I just get these really violent bursts, like I’m trying to sneeze out my whole head. It’s really uncomfortable, and I’ve been wiping my nose constantly.”"
sneezing,2,"“It’s just… this really persistent achoo-ing. It started about a week ago, and it seems to come out of nowhere. I’ll be sitting there, just… *achoo*! And then it just keeps happening, even if I’m not doing anything obvious to trigger it.”"
sneezing,3,"“It’s just… this persistent tickle in my nose. I keep getting these little bursts, like I’m trying to sneeze, but it won’t quite come out right. It’s really irritating, especially when I’m trying to concentrate.”"
sneezing,4,"“It’s just… this constant feeling of needing to clear my nose, you know? Like, I’m getting these little bursts, these… things, coming out of my nostrils. It’s really annoying, especially when I’m trying to concentrate.”"
bladder mass,1,"“It’s… it’s kind of hard to explain, really. I’ve been feeling this really full sensation in my lower abdomen, almost like something’s there. And sometimes, when I press gently, I can feel a distinct, hard lump. It’s not painful, not usually, but it’s definitely there.”"
bladder mass,2,"“It’s…it’s getting really full, you know? Like, when I go to the bathroom, it feels like I’m pushing against something. There’s this pressure, and sometimes it’s hard to empty completely. And there’s this weird, solid feeling, almost like a bulge, when I’m not even holding my urine.”"
bladder mass,3,"“It’s… it’s gotten really full lately. Like, I feel this huge pressure down there, and it’s hard to empty completely, even after I’ve gone. It’s uncomfortable, and it feels… swollen, almost. It’s been going on for maybe a couple of weeks, and it’s just not going away.”"
bladder mass,4,"“It’s… it’s kind of hard to explain, really. When I go to the bathroom, it feels like something’s there. Like a full feeling, but when I empty my bladder, it’s not completely gone. And sometimes, it’s… noticeable, you know? Like a lump.”"
knee cramps or spasms,1,"“It’s just… my knee. Sometimes, especially at night, it just locks up, like a really tight muscle. It’s a sudden, really intense cramp, and then it’s gone. It’s incredibly painful and worrying.”"
knee cramps or spasms,2,"“It’s just… my leg. It happens mostly at night, you know? Like a sudden, tight squeeze, almost like a muscle just locks up. It’s really uncomfortable, and it’s been happening more frequently lately, even during the day sometimes when I’m just sitting.”"
knee cramps or spasms,3,"“It’s just… sometimes, especially after I’ve been walking around a lot, my leg just locks up. Like a sudden, really tight feeling, and it’s painful. It goes away after a little while, but it’s incredibly disruptive.”"
knee cramps or spasms,4,"“It’s just… sometimes, especially at night, my leg just locks up. It’s a really sudden, intense pain, like a tightening, and it lasts for a good few minutes before it finally goes away. It’s incredibly uncomfortable, and it’s been happening more and more frequently lately.”"
premature ejaculation,1,"“It’s… it’s been happening a lot lately. Like, almost every time I try to have sex, I just… I finish before I even really get going. It’s really frustrating and embarrassing, and I don’t know what to do about it.”"
